# fixed mirror figure, mode=median, layout=pf36000
# generated 2026-08-01 by scripts/build_fixed_shapes.py: 4876 timesteps over 365 days of 2026, day stride 1
# mean_cos weight = trapezoid daylight hours x cos(AOI); median = time-weighted component-wise median
heliostat,x_mm,y_mm,c3,c4,c5
201,50601.0590342049,-24953.6808150582,5.861473155184143e-09,-1.0862764843094526e-06,1.1546792812112969e-08
202,53425.2688981994,-18135.4350584149,7.87432973290237e-09,-1.0859490253930094e-06,3.888806300582142e-09
203,55335.3575990627,-11006.8869798295,9.214509651161372e-09,-1.0869473808493977e-06,4.9960712583523984e-09
204,56298.6429895466,-3690.00801333376,8.886485877158538e-09,-1.0885815835320329e-06,5.272211012257328e-09
205,56298.6429895466,3690.00801333368,8.251847694703607e-09,-1.0907829184023604e-06,7.694755390100443e-09
206,55335.3575990627,11006.8869798294,8.702217683766039e-09,-1.0915515702378684e-06,9.656044625029375e-09
207,53425.2688981994,18135.435058414798,9.056764810390918e-09,-1.0911404625328964e-06,1.882037968112955e-08
208,50601.0590342049,24953.6808150581,2.9107615222030213e-08,-1.092569855848311e-06,3.64245257292062e-08
209,46911.0510208712,31344.962174488403,4.014568688476716e-08,-1.0949300503238735e-06,6.075377059144955e-08
210,42418.3819183699,37199.922540647894,3.4692083992110514e-08,-1.0967919952366073e-06,8.956663591858281e-08
211,37199.922540647894,42418.38191836981,3.8635601516222745e-08,-1.1001926476621828e-06,1.2515408366412915e-07
212,31344.962174488403,46911.0510208712,3.728318811700818e-08,-1.105020843149191e-06,1.5000215494821106e-07
213,24953.6808150581,50601.0590342049,3.494973921817675e-08,-1.1081043617234782e-06,1.735914550496147e-07
214,18135.435058414798,53425.2688981994,2.841251633203871e-08,-1.1097226352956988e-06,2.063715484613845e-07
215,11006.8869798295,55335.3575990627,3.201540870721535e-08,-1.1095029619425206e-06,2.32392992621862e-07
216,3690.00801333372,56298.6429895466,2.5258350692464035e-08,-1.1087558304117446e-06,2.3382024862871366e-07
217,-3690.0080133337096,56298.6429895466,-2.5142679377436e-08,-1.1087213078724615e-06,2.3377488504149413e-07
218,-11006.8869798295,55335.3575990627,-3.197943469380546e-08,-1.1095039393208905e-06,2.322162617771042e-07
219,-18135.435058414798,53425.2688981994,-2.851207027610404e-08,-1.109745440734372e-06,2.0618278258893816e-07
220,-24953.6808150581,50601.0590342049,-3.4964839711428274e-08,-1.108088424009498e-06,1.7365429891954508e-07
221,-31344.962174488403,46911.0510208712,-3.718552189320705e-08,-1.1050134726015185e-06,1.50005203416814e-07
222,-37199.922540647894,42418.38191836981,-3.870906863106045e-08,-1.1001812545119468e-06,1.2493616039608364e-07
223,-42418.3819183699,37199.922540647894,-3.4790045432809736e-08,-1.0967675187636126e-06,8.971522435814694e-08
224,-46911.0510208712,31344.962174488403,-4.002493243704782e-08,-1.094917222319631e-06,6.063163572763972e-08
225,-50601.0590342049,24953.6808150581,-2.9264607541213027e-08,-1.092567976610424e-06,3.6711718512732086e-08
226,-53425.2688981994,18135.435058414798,-9.149648021375637e-09,-1.0911386465774639e-06,1.863248447734091e-08
227,-55335.3575990627,11006.8869798294,-8.868086076706112e-09,-1.0915483615935673e-06,9.407195168443153e-09
228,-56298.6429895466,3690.0080133337,-8.153485675817728e-09,-1.0907845175773915e-06,7.714738455030087e-09
