# fixed mirror figure, mode=mean_cos, layout=pf36000
# generated 2026-08-01 by scripts/build_fixed_shapes.py: 4876 timesteps over 365 days of 2026, day stride 1
# mean_cos weight = trapezoid daylight hours x cos(AOI); median = time-weighted component-wise median
heliostat,x_mm,y_mm,c3,c4,c5
116,20387.346047793697,41341.4481238634,3.409066788074623e-08,-1.2754107966384162e-06,2.041899368449542e-07
117,14816.787671664,43648.848953247405,2.2220220379702173e-08,-1.2732655219596463e-06,2.1120040355574956e-07
118,8992.709950482571,45209.405875294105,1.264000516348475e-08,-1.2717517201782899e-06,2.165315242653361e-07
119,3014.7644687981,45996.4173283991,4.309348887693946e-09,-1.2709696651327658e-06,2.1863355724991954e-07
120,-3014.7644687981,45996.4173283991,-4.310084147838971e-09,-1.270969690870449e-06,2.1863367481567248e-07
121,-8992.70995048256,45209.405875294105,-1.264060763785119e-08,-1.2717517972167517e-06,2.1653151920800728e-07
122,-14816.787671664,43648.848953247405,-2.2221123913183094e-08,-1.2732656497281124e-06,2.1120050460698539e-07
123,-20387.346047793697,41341.4481238634,-3.409109414324045e-08,-1.2754109740208733e-06,2.041903079177667e-07
124,-25609.0712806054,38326.6836550653,-4.693980965874302e-08,-1.2780388991702327e-06,1.9251495913700378e-07
125,-30392.61820363,34656.1390027648,-7.124182016141678e-08,-1.2809554217815853e-06,1.7496295324012843e-07
126,-34656.1390027648,30392.61820363,-9.86300014163034e-08,-1.2839288059907254e-06,1.5939374997561792e-07
127,-38326.6836550653,25609.0712806054,-1.0368824026898006e-07,-1.2867030914353315e-06,1.1859343166641852e-07
128,-41341.4481238635,20387.346047793697,-8.19631777082439e-08,-1.2890191476734416e-06,7.810707029100413e-08
129,-43648.848953247405,14816.787671664,-4.946868381181851e-08,-1.2906419222925095e-06,6.506219013927393e-08
130,-45209.405875294105,8992.70995048254,-2.7373056930828296e-08,-1.2913883076620736e-06,6.376012911810628e-08
131,-45996.4173283991,3014.76446879809,-1.3881207820286517e-08,-1.2911481021791437e-06,6.10358885431249e-08
132,-45996.4173283991,-3014.7644687981397,-1.051215438123938e-09,-1.2898939153442594e-06,5.314201671333139e-08
133,-45209.405875294105,-8992.70995048261,1.228890922667937e-08,-1.287681320407649e-06,4.10968882188207e-08
134,-43648.848953247405,-14816.787671664,3.866657023089243e-08,-1.2846422846398585e-06,3.6071801092041485e-08
135,-41341.4481238634,-20387.346047793697,4.9219265395853463e-08,-1.2809725655141621e-06,8.580208444369508e-08
136,-38326.6836550653,-25609.0712806054,4.191148684240649e-08,-1.2769120240887724e-06,1.25280991346671e-07
137,-34656.1390027648,-30392.6182036301,2.9996811808148434e-08,-1.2727191540466973e-06,1.454087789589343e-07
138,-30392.61820363,-34656.1390027649,2.1106152196513877e-08,-1.2686453777560847e-06,1.5546070814632057e-07
139,-25609.071280605298,-38326.683655065404,1.481910744195489e-08,-1.264915443185087e-06,1.6058187795472612e-07
140,-20387.3460477936,-41341.4481238635,1.0240202606270045e-08,-1.2617165876826932e-06,1.6320888895379918e-07
141,-14816.787671663898,-43648.848953247405,6.716846969293105e-09,-1.2591950766801593e-06,1.6452030484592515e-07
142,-8992.709950482511,-45209.405875294105,3.814382872903463e-09,-1.2574570964108866e-06,1.651321652227018e-07
143,-3014.76446879805,-45996.4173283991,1.237423385471996e-09,-1.2565713128356163e-06,1.6536792653919428e-07
144,-8.76900682911802e-11,-51127.5235819115,-2.968828289856316e-13,-1.1767598008256201e-06,1.613050977851884e-07
145,6673.48097078771,-50690.1205300545,-1.4696917067534464e-10,-1.1772209819655686e-06,1.6123827054707082e-07
146,13232.7768319268,-49385.3954619717,-4.518163185363003e-10,-1.1785882530620124e-06,1.6098033801147212e-07
147,19565.6562126529,-47235.6725853162,-1.1148086735979832e-09,-1.180812034946258e-06,1.6034271498413697e-07
148,25563.761790955698,-44277.7342545234,-2.435646858884229e-09,-1.1838067131532417e-06,1.589493088343963e-07
149,31124.4643174014,-40562.191614528405,-4.903544346305541e-09,-1.187446824645042e-06,1.560964414201881e-07
150,36152.6186300447,-36152.6186300448,-9.338291324530566e-09,-1.1915634121322066e-06,1.503822289521898e-07
151,40562.1916145283,-31124.4643174015,-1.697378684003172e-08,-1.1959430377181054e-06,1.3869747654435408e-07
152,44277.734254523304,-25563.761790955803,-2.7531982723296093e-08,-1.2003332772620236e-06,1.1339946916723162e-07
153,47235.6725853162,-19565.656212653,-3.0084324960132986e-08,-1.2044585321717643e-06,5.6555311394035845e-08
154,49385.3954619717,-13232.776831927,-7.568596094253643e-09,-1.2080463778609593e-06,4.127310842402303e-08
155,50690.1205300545,-6673.480970787849,6.125271501690935e-09,-1.2108581227208941e-06,5.777760396332562e-08
156,51127.5235819115,-4.5410363098163e-11,1.3819964454875606e-08,-1.212714441311366e-06,7.020452121892266e-08
157,50690.1205300545,6673.48097078776,2.2344191427717184e-08,-1.2135119907871356e-06,7.514261406547279e-08
158,49385.3954619717,13232.7768319269,3.562590686577858e-08,-1.2132331329754023e-06,7.39999768563884e-08
159,47235.6725853162,19565.6562126529,6.123509114447103e-08,-1.2119506455899767e-06,7.397828578425438e-08
160,44277.734254523304,25563.761790955698,9.356223754754076e-08,-1.209824275718397e-06,9.384657838990697e-08
161,40562.191614528405,31124.4643174015,9.16383280200788e-08,-1.2070839770383503e-06,1.3389927215631504e-07
162,36152.6186300447,36152.6186300447,6.395643400507265e-08,-1.2040006329307075e-06,1.6669589990013898e-07
163,31124.4643174015,40562.191614528405,4.321273108359796e-08,-1.2008531263422276e-06,1.793436190869112e-07
164,25563.761790955698,44277.734254523304,2.922716824100993e-08,-1.197901254408464e-06,1.92915289992263e-07
165,19565.6562126529,47235.6725853162,2.0020661707724488e-08,-1.1953682115062373e-06,2.0111833573859837e-07
166,13232.7768319269,49385.3954619717,1.2127334125233413e-08,-1.1934313341859388e-06,2.0695562636304042e-07
