X (m),Y (m)
43.83924622,-43.83924622
49.18636527,-37.74202551
53.69189197,-30.99902828
57.27873552,-23.72562909
59.88552402,-16.0462778
61.4676546,-8.092370249
61.99805657,-5.51E-14
61.4676546,8.092370249
59.88552402,16.0462778
57.27873552,23.72562909
53.69189197,30.99902828
49.18636527,37.74202551
43.83924622,43.83924622
37.74202551,49.18636527
30.99902828,53.69189197
23.72562909,57.27873552
16.0462778,59.88552402
8.092370249,61.4676546
3.80E-15,61.99805657
-8.092370249,61.4676546
-16.0462778,59.88552402
-23.72562909,57.27873552
-30.99902828,53.69189197
-37.74202551,49.18636527
-43.83924622,43.83924622
-49.18636527,37.74202551
-53.69189197,30.99902828
-57.27873552,23.72562909
-59.88552402,16.0462778
-61.4676546,8.092370249
-61.99805657,-4.75E-14
-61.4676546,-8.092370249
-59.88552402,-16.0462778
-57.27873552,-23.72562909
-53.69189197,-30.99902828
-49.18636527,-37.74202551
-4.38E+01,-43.83924622
-37.74202551,-49.18636527
-30.99902828,-53.69189197
-23.72562909,-57.27873552
-16.0462778,-59.88552402
-8.092370249,-61.4676546
9.87E-14,-61.99805657
6.44E-14,-67.82900846
5.994734863,-67.56358148
11.9425528,-66.76937787
17.79690406,-65.45261335
23.51197043,-63.62359339
29.04302374,-61.29663254
34.34677602,-58.48994244
39.3817182,-55.22548923
44.10844505,-51.52882169
48.4899635,-47.42887125
52.49198225,-42.9577256
56.08318007,-38.15037749
59.23545096,-33.04445096
61.92412413,-27.67990679
64.12815707,-22.09872982
65.83030024,-16.34460033
67.01723204,-10.46255218
67.67966315,-4.498620373
67.81240912,1.500519237
67.41443105,7.487915249
66.48884366,13.41670817
65.04289091,19.24049716
63.08788935,24.91370318
6.06E+01,30.39192568
57.71580621,35.63229016
54.34076846,40.59378366
50.54044052,45.23757576
46.34456511,49.5273225
41.78598063,53.42945079
36.90036421,56.91342118
31.7259524,59.95196688
26.303242,62.52130716
20.67467307,64.60133344
14.88429679,66.1757667
8.977430701,67.23228486
3.000304049,67.76261923
-3.000304049,67.76261923
-8.977430701,67.23228486
-14.88429679,66.1757667
-20.67467307,64.60133344
-26.303242,62.52130716
-31.7259524,59.95196688
-36.90036421,56.91342118
-41.78598063,53.42945079
-46.34456511,49.5273225
-50.54044052,45.23757576
-54.34076846,40.59378366
-57.71580621,35.63229016
-60.63913952,30.39192568
-63.08788935,24.91370318
-65.04289091,19.24049716
-66.48884366,13.41670817
-67.41443105,7.487915249
-67.81240912,1.500519237
-67.67966315,-4.498620373
-67.01723204,-10.46255218
-65.83030024,-16.34460033
-64.12815707,-22.09872982
-61.92412413,-27.67990679
-59.23545096,-33.04445096
-56.08318007,-38.15037749
-52.49198225,-42.9577256
-48.4899635,-47.42887125
-44.10844505,-51.52882169
-39.3817182,-55.22548923
-34.34677602,-58.48994244
-29.04302374,-61.29663254
-23.51197043,-63.62359339
-17.79690406,-65.45261335
-11.9425528,-66.76937787
-5.994734863,-67.56358148
3.223946327,-72.81363615
9.646607231,-72.24377072
15.99377035,-71.10849984
22.21576054,-69.41670853
28.26388227,-67.18163736
34.09080081,-64.42077878
39.65091261,-61.15574027
44.90070225,-57.41207518
49.79908303,-53.21908275
54.30771845,-48.60957884
58.39132235,-43.61963907
62.01793498,-38.28831649
